date,com,net,total
2026-02-14,162457837,12401024,174858861
2026-02-15,162456458,12400544,174857002
2026-02-16,162453534,12400398,174853932
2026-02-17,162479075,12402059,174881134
2026-02-18,162503452,12403647,174907099
2026-02-19,162527986,12404936,174932922
2026-02-20,162548082,12405634,174953716
2026-02-21,162559684,12405929,174965613
2026-02-22,162546958,12404070,174951028
2026-02-23,162547070,12402727,174949797
2026-02-24,162573186,12403496,174976682
2026-02-25,162604243,12404504,175008747
2026-02-26,162647423,12405740,175053163
2026-02-27,162672817,12406689,175079506
2026-02-28,162689250,12406542,175095792
2026-03-01,162681867,12405462,175087329
2026-03-02,162690281,12404434,175094715
2026-03-03,162729889,12405012,175134901
2026-03-04,162773100,12406566,175179666
2026-03-05,162816091,12407671,175223762
2026-03-06,162851245,12408894,175260139
2026-03-07,162889032,12409879,175298911
2026-03-08,162902430,12408153,175310583
2026-03-09,162912653,12407538,175320191
2026-03-10,162968255,12409335,175377590
2026-03-11,163019230,12411293,175430523
2026-03-12,163070919,12413382,175484301
2026-03-13,163120215,12414393,175534608
2026-03-14,163149702,12415616,175565318
2026-03-15,163159134,12414728,175573862
2026-03-16,163171001,12413396,175584397
2026-03-17,163229386,12414743,175644129
2026-03-18,163279688,12415759,175695447
2026-03-19,163318922,12417257,175736179
2026-03-20,163354623,12418327,175772950
2026-03-21,163370316,12417970,175788286
2026-03-22,163372608,12416360,175788968
2026-03-23,163376326,12415199,175791525
2026-03-24,163414077,12416835,175830912
2026-03-25,163465156,12418223,175883379
2026-03-26,163505278,12419157,175924435
2026-03-27,163537474,12420071,175957545
2026-03-28,163575006,12420502,175995508
2026-03-29,163580949,12418976,175999925
2026-03-30,163588173,12417960,176006133
2026-03-31,163618868,12418942,176037810
2026-04-01,163633769,12417357,176051126
2026-04-02,163681379,12418606,176099985
2026-04-03,163712438,12420337,176132775
2026-04-04,163733358,12421102,176154460
2026-04-05,163731138,12420172,176151310
2026-04-06,163730344,12418613,176148957
2026-04-07,163763735,12419588,176183323
2026-04-08,163790064,12417157,176207221
2026-04-09,163820986,12418833,176239819
2026-04-10,163868528,12419949,176288477
2026-04-11,163897543,12420552,176318095
2026-04-12,163892466,12419247,176311713
2026-04-13,163904208,12418513,176322721
2026-04-14,163947969,12420101,176368070
2026-04-15,163999255,12421620,176420875
2026-04-16,164036426,12423032,176459458
2026-04-17,164077606,12424154,176501760
2026-04-18,164099603,12424646,176524249
2026-04-19,164099712,12424394,176524106
2026-04-20,164105744,12423690,176529434
2026-04-21,164165491,12424987,176590478
2026-04-22,164206765,12426127,176632892
2026-04-23,164244663,12427114,176671777
2026-04-24,164281091,12427255,176708346
2026-04-25,164323462,12427541,176751003
2026-04-26,164325091,12427101,176752192
2026-04-27,164331267,12426030,176757297
2026-04-28,164373607,12428306,176801913
2026-04-29,164420899,12429278,176850177
2026-04-30,164455420,12429675,176885095
2026-05-01,164490768,12430614,176921382
2026-05-02,164506268,12429150,176935418
2026-05-03,164521473,12428933,176950406
2026-05-04,164527876,12428092,176955968
2026-05-05,164570420,12428659,176999079
